title,type,speaker,dialogue_raw,dialogue_clean,stage_direction_inline,scene_note_inline,stage_direction_only,scene_note_only,season,episode
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,There's a knock on the door and it's Paul.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Hi, come in! Paul, this is.. (They are all lined up next to the door.)... everybody, everybody, this is Paul.","Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",(They are all lined up next to the door.),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ALL,Hey! Paul! Hi! The Wine Guy! Hey!,Hey! Paul! Hi! The Wine Guy! Hey!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"I'm sorry, I didn't catch your name. Paul, was it?","I'm sorry, I didn't catch your name. Paul, was it?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...","Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,A wandering?,A wandering?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Change!  Okay, sit down. (Shows Paul in) Two seconds.","Change!  Okay, sit down.  Two seconds.",(Shows Paul in),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,"Ooh, I just pulled out four eyelashes. That can't be good.","Ooh, I just pulled out four eyelashes. That can't be good.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,Monica goes to change.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"Hey, Paul!","Hey, Paul!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PAUL,Yeah?,Yeah?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.","Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"(yelling from the bedroom) Shut up, Joey!","Shut up, Joey!",(yelling from the bedroom),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"So Rachel, what're you, uh... what're you up to tonight?","So Rachel, what're you, uh... what're you up to tonight?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!","Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- (thinks) -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.","Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",(thinks),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"(deadpan) Yes, and we're very excited about it.","Yes, and we're very excited about it.",(deadpan),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day.","Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"Okay, sure.","Okay, sure.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"Hey Pheebs, you wanna help?","Hey Pheebs, you wanna help?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,"Oh, I wish I could, but I don't want to.","Oh, I wish I could, but I don't want to.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,scene_note,,,,,,,"Scene: The Subway, Phoebe is singing for change.",1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,"(singing) Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart.  La-la-la-la-la- (some guy gives her some change and to that guy) Thank you. (sings) La-la-la-la...ohhh!","Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart.  La-la-la-la-la-  Thank you.  La-la-la-la...ohhh!",(singing) | (some guy gives her some change and to that guy) | (sings),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,scene_note,,,,,,,"Scene: Ross's Apartment, the guys are there assembling furniture.",1,1
