year,season,episode,title,director,stars,Votes,writers,Central Perk,City spaces,Hallways,Hospitals,Jobs,Main apartments,Other lodging,Social Life,Transport
1996,3,6,The One with the Flashback,Peter Bonerz,9.1,4291,"['David Crane', 'Marta Kauffman']",0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.5333333333333333,0.0,0.26666666666666666,0.0
1996,3,7,The One with the Race Car Bed,Gail Mancuso,8.3,3238,['Seth Kurland'],0.1875,0.125,0.0625,0.0,0.25,0.3125,0.0,0.0625,0.0
1996,3,8,The One with the Giant Poking Device,Gail Mancuso,8.4,3258,['Adam Chase'],0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0
1996,3,9,The One with the Football,Kevin Bright,9.0,4588,['Ira Ungerleider'],0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0
1996,3,10,The One Where Rachel Quits,Terry Hughes,8.1,3268,"['Greg Malins', 'Michael Curtis']",0.3333333333333333,0.0,0.26666666666666666,0.0,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0
1997,3,11,The One Where Chandler Can't Remember Which Sister,Terry Hughes,8.6,3374,['Alexa Junge'],0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0
1997,3,12,The One with All the Jealousy,Robby Benson,8.2,3213,['Doty Abrams'],0.125,0.0,0.0,0.0,0.5625,0.3125,0.0,0.0,0.0
1997,3,13,The One Where Monica and Richard Are Just Friends,Robby Benson,8.2,3225,['Michael Borkow'],0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.5384615384615384,0.07692307692307693,0.0,0.0
1997,3,14,The One with Phoebe's Ex-Partner,Robby Benson,7.9,3211,['Wil Calhoun'],0.2777777777777778,0.05555555555555555,0.0,0.0,0.16666666666666666,0.4444444444444444,0.05555555555555555,0.0,0.0
1997,3,15,The One Where Ross and Rachel Take a Break,James Burrows,8.5,3450,['Michael Borkow'],0.11764705882352941,0.11764705882352941,0.0,0.0,0.058823529411764705,0.35294117647058826,0.0,0.35294117647058826,0.0
1997,3,16,The One with the Morning After,James Burrows,9.1,4192,"['David Crane', 'Marta Kauffman']",0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.7142857142857143,0.0,0.07142857142857142,0.0
1997,3,17,The One Without the Ski Trip,Sam Simon,8.3,3154,"['Scott Silveri', 'Shana Goldberg-Meehan']",0.09090909090909091,0.36363636363636365,0.0,0.0,0.0,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091
1997,3,18,The One with the Hypnosis Tape,Robby Benson,8.4,3268,['Seth Kurland'],0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.7333333333333333,0.0,0.06666666666666667,0.0
1997,3,19,The One with the Tiny T-Shirt,Terry Hughes,8.2,3147,['Adam Chase'],0.1875,0.0,0.125,0.0625,0.0,0.4375,0.0,0.1875,0.0
1997,3,20,The One with the Dollhouse,Terry Hughes,8.1,3134,['Wil Calhoun'],0.06666666666666667,0.0,0.0,0.0,0.26666666666666666,0.4666666666666667,0.0,0.2,0.0
1997,3,21,The One with the Chick and the Duck,Michael Lembeck,8.7,3359,['Chris Brown'],0.1875,0.0,0.0625,0.0,0.125,0.5625,0.0,0.0625,0.0
1997,3,22,The One with the Screamer,Peter Bonerz,8.3,3185,"['Scott Silveri', 'Shana Goldberg-Meehan']",0.07692307692307693,0.0,0.0,0.0,0.23076923076923078,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.0
1997,3,23,The One with Ross's Thing,Shelley Jensen,8.1,3120,"['Andrew Reich', 'Ted Cohen']",0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.0,0.0
1997,3,24,The One with the Ultimate Fighting Champion,Robby Benson,8.1,3253,"['Pang-Ni Landrum', 'Mark J. Kunerth', 'Scott Silveri', 'Shana Goldberg-Meehan']",0.21428571428571427,0.14285714285714285,0.0,0.0,0.2857142857142857,0.21428571428571427,0.0,0.14285714285714285,0.0
1997,3,25,The One at the Beach,Pamela Fryman,8.9,3600,"['Adam Chase', 'Pang-Ni Landrum', 'Mark J. Kunerth']",0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.6923076923076923,0.0,0.0
1997,4,1,The One with the Jellyfish,Shelley Jensen,9.1,4099,['Wil Calhoun'],0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.0,0.23076923076923078,0.46153846153846156,0.0,0.0
1997,4,2,The One with the Cat,Shelley Jensen,8.1,3169,"['Amy Toomin', 'Jill Condon']",0.2,0.06666666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,0.06666666666666667,0.0
1997,4,3,The One with the 'Cuffs,Peter Bonerz,8.5,3185,['Seth Kurland'],0.0625,0.0,0.0,0.0,0.3125,0.375,0.25,0.0,0.0
1997,4,4,The One with the Ballroom Dancing,Gail Mancuso,8.2,3122,"['Andrew Reich', 'Ted Cohen']",0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0
1997,4,5,The One with Joey's New Girlfriend,Gail Mancuso,8.4,3157,"['Greg Malins', 'Michael Curtis']",0.3125,0.0625,0.0,0.0,0.0,0.5,0.0625,0.0625,0.0
1997,4,6,The One with the Dirty Girl,Shelley Jensen,8.5,3238,"['Scott Silveri', 'Shana Goldberg-Meehan']",0.15384615384615385,0.0,0.0,0.0,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.0,0.0
1997,4,7,The One Where Chandler Crosses the Line,Kevin Bright,8.7,3294,['Adam Chase'],0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1997,4,8,The One with Chandler in a Box,Peter Bonerz,9.1,4139,['Michael Borkow'],0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,0.0
1997,4,9,The One Where They're Going to Party!,Peter Bonerz,7.9,3045,"['Andrew Reich', 'Ted Cohen']",0.23076923076923078,0.0,0.0,0.0,0.23076923076923078,0.46153846153846156,0.0,0.07692307692307693,0.0
1997,4,10,The One with the Girl from Poughkeepsie,Gary Halvorson,8.1,3025,['Scott Silveri'],0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.13333333333333333
1998,4,11,The One with Phoebe's Uterus,David Steinberg,8.5,3210,"['Amy Toomin', 'Jill Condon']",0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0
1998,4,12,The One with the Embryos,Kevin Bright,9.5,6006,"['Amy Toomin', 'Jill Condon']",0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0
1998,4,13,The One with Rachel's Crush,Dana De Vally Piazza,8.2,3006,['Shana Goldberg-Meehan'],0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.38461538461538464,0.07692307692307693,0.38461538461538464,0.0
1998,4,14,The One with Joey's Dirty Day,Peter Bonerz,8.2,3028,['Wil Calhoun'],0.1,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.0
1998,4,15,The One with All the Rugby,James Burrows,8.5,3180,"['Andrew Reich', 'Ted Cohen', 'Wil Calhoun']",0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285
1998,4,16,The One with the Fake Party,Michael Lembeck,8.2,3061,"['Alicia Sky Varinaitis', 'Scott Silveri', 'Shana Goldberg-Meehan']",0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.16666666666666666,0.0
1998,4,17,The One with the Free Porn,Michael Lembeck,8.6,3212,"['Richard Goodman', 'Mark J. Kunerth']",0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.09090909090909091
1998,4,18,The One with Rachel's New Dress,Gail Mancuso,8.3,3011,"['Amy Toomin', 'Jill Condon', 'Andrew Reich', 'Ted Cohen']",0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.08333333333333333,0.0,0.08333333333333333
1998,4,19,The One with All the Haste,Kevin Bright,8.7,3168,"['Scott Silveri', 'Wil Calhoun']",0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.0,0.0
1998,4,20,The One with All the Wedding Dresses,Gail Mancuso,8.5,3110,"['Greg Malins', 'Adam Chase', 'Michael Curtis']",0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0
1998,4,21,The One with the Invitation,Peter Bonerz,7.2,3364,['Seth Kurland'],0.20689655172413793,0.06896551724137931,0.034482758620689655,0.0,0.034482758620689655,0.5517241379310345,0.034482758620689655,0.034482758620689655,0.034482758620689655
1998,4,22,The One with the Worst Best Man Ever,Peter Bonerz,8.5,3052,"['Greg Malins', 'Seth Kurland', 'Michael Curtis']",0.2,0.06666666666666667,0.0,0.0,0.06666666666666667,0.6666666666666666,0.0,0.0,0.0
1998,4,23,The One with Ross's Wedding,Kevin Bright,8.7,3343,['Michael Borkow'],0.0,0.3333333333333333,0.0,0.0,0.0,0.4166666666666667,0.25,0.0,0.0
